ORF,Chr,ORF_Start,ORF_End,Strand,TSS,TTS,TranscriptLength,TranscriptQualifier,TranscriptCenter,PromoterLength,PromoterQualifier,PromoterCenter,NDR3pLength,NDR3pQualifier,NDR3pCenter,Plus1,Minus1,RelativePlus1,RelativeMinus1,NDRcenter,NDRwidth
YDR099W,chrIV,652781,654428,1,652718,654650,1933,Verified,653684,7749,divergent,648843,336,tandem,654818,652706,652356,-12,-362,652531,203
YDR100W,chrIV,655013,655444,1,654987,655570,584,Verified,655279,336,tandem,654819,-4,convergent,655568,655035,654741,48,-246,654888,147
YDR101C,chrIV,657467,655686,-1,657494,655567,1928,Verified,656531,221,divergent,657605,579,convergent,655277,657448,657804,46,-310,657626,209
YDR103W,chrIV,658350,661103,1,657716,661149,3434,Verified,659433,221,divergent,657605,-9,convergent,661144,657804,657448,88,-268,657626,209
YDR104C,chrIV,664910,661173,-1,664959,661141,3819,Verified,663050,318,tandem,665118,3424,convergent,659429,664917,665161,42,-202,665039,97
YDR105C,chrIV,666770,665349,-1,666821,665278,1544,Verified,666050,164,divergent,666903,318,tandem,665119,666771,667023,50,-202,666897,105
YDR106W,chrIV,667004,667858,1,666986,667905,920,Verified,667446,164,divergent,666904,920,convergent,668365,667023,666771,37,-215,666897,105
YDR107C,chrIV,671034,669016,-1,671049,668826,2224,Verified,669938,183,divergent,671141,1839,convergent,667906,671019,671265,30,-216,671142,99
YDR108W,chrIV,671269,673365,1,671233,673454,2222,Verified,672344,183,divergent,671141,-83,convergent,673412,671265,671019,32,-214,671142,99
YDR110W,chrIV,676102,677802,1,676064,678007,1944,Verified,677036,405,divergent,675861,-75,convergent,677969,676087,675837,23,-227,675962,103
YDR113C,chrIV,681617,680496,-1,681719,680422,1298,Verified,681071,415,divergent,681927,465,tandem,680189,681657,681934,62,-215,681796,130
YDR116C,chrIV,683581,682724,-1,683588,682602,987,Verified,683095,312,tandem,683744,375,tandem,682414,683550,683821,38,-233,683686,124
YDR117C,chrIV,685643,683946,-1,685668,683901,1768,Verified,684785,175,divergent,685756,312,tandem,683745,685631,685889,37,-221,685760,111
YDR118W,chrIV,685882,687840,1,685844,688170,2327,Verified,687007,175,divergent,685756,-39,tandem,688150,685889,685631,45,-213,685760,111
YDR120C,chrIV,693261,691549,-1,693234,691340,1895,Verified,692287,215,divergent,693342,354,convergent,691163,693212,693505,22,-271,693359,146
YDR121W,chrIV,693585,694175,1,693450,694283,834,Verified,693867,215,divergent,693342,128,tandem,694347,693505,693212,55,-238,693359,146
YDR122W,chrIV,694700,697894,1,694412,698045,3634,Verified,696229,128,tandem,694348,508,convergent,698299,694436,694168,24,-244,694302,121
YDR123C,chrIV,699468,698554,-1,699538,698554,985,Verified,699046,321,divergent,699699,4141,convergent,696483,699484,699840,54,-302,699662,209
YDR125C,chrIV,702758,701397,-1,702877,701397,1481,Verified,702137,351,divergent,703053,1536,convergent,700629,702850,703072,27,-195,702961,75
YDR126W,chrIV,703234,704244,1,703229,704494,1266,Verified,703862,351,divergent,703053,-81,tandem,704453,703269,703072,40,-157,703171,50
YDR127W,chrIV,704484,709250,1,704414,709368,4955,Verified,706891,-81,tandem,704455,146,tandem,709441,704439,704113,25,-301,704276,179
YDR128W,chrIV,709549,712995,1,709515,713125,3611,Verified,711320,146,tandem,709442,68,convergent,713159,709538,709253,23,-262,709396,138
YDR129C,chrIV,715379,713340,-1,715452,713194,2259,Verified,714323,212,tandem,715558,3678,convergent,711355,715375,715683,77,-231,715529,161
YDR130C,chrIV,716622,715747,-1,716650,715665,986,Verified,716158,37,tandem,716669,212,tandem,715559,716613,716881,37,-231,716747,121
YDR135C,chrIV,727551,723004,-1,727606,722914,4693,Verified,725260,567,divergent,727890,2489,tandem,721669,727586,727807,20,-201,727697,74
YDR137W,chrIV,728259,730250,1,728174,730407,2234,Verified,729291,567,divergent,727890,157,tandem,730486,728210,727959,36,-215,728085,104
YDR138W,chrIV,730578,732836,1,730565,732836,2272,Verified,731701,157,tandem,730486,610,convergent,733141,730600,730300,35,-265,730450,153
YDR139C,chrIV,733924,733618,-1,733950,733447,504,Verified,733699,173,divergent,734037,2881,convergent,732006,733900,734176,50,-226,734038,129
YDR140W,chrIV,734138,734803,1,734124,734909,786,Verified,734517,173,divergent,734037,-221,convergent,734798,734176,733900,52,-224,734038,129
YDR141C,chrIV,739997,734901,-1,740045,734689,5357,Verified,737367,361,tandem,740226,564,convergent,734407,739992,740289,53,-244,740141,150
YDR142C,chrIV,741600,740473,-1,741777,740407,1371,Verified,741092,70,tandem,741812,361,tandem,740226,741740,741975,37,-198,741858,88
YDR143C,chrIV,743874,742042,-1,744020,741848,2173,Verified,742934,207,tandem,744124,70,tandem,741813,743975,744264,45,-244,744120,142
YDR144C,chrIV,746101,744311,-1,746241,744228,2014,Verified,745235,430,divergent,746456,207,tandem,744124,746193,746496,48,-255,746345,156
YDR145W,chrIV,746738,748357,1,746672,748556,1885,Verified,747614,430,divergent,746457,-106,convergent,748503,746719,746496,47,-176,746608,76
YDR146C,chrIV,750742,748613,-1,750906,748451,2456,Verified,749679,292,divergent,751052,1778,convergent,747562,750920,751228,-14,-322,751074,161
YDR147W,chrIV,751631,753235,1,751199,753270,2072,Verified,752235,292,divergent,751053,264,convergent,753402,751228,750920,29,-279,751074,161
YDR148C,chrIV,755066,753675,-1,755319,753535,1785,Verified,754427,246,divergent,755442,2335,convergent,752367,755294,755610,25,-291,755452,169
YDR150W,chrIV,755628,763874,1,755566,763923,8358,Verified,759745,246,divergent,755443,56,convergent,763951,755610,755294,44,-272,755452,169
YDR151C,chrIV,765155,764178,-1,765332,763980,1353,Verified,764656,306,divergent,765485,8413,convergent,759773,765274,765711,58,-379,765493,290
YDR152W,chrIV,765706,766503,1,765639,766614,976,Verified,766127,306,divergent,765486,-1,convergent,766613,765711,765274,72,-365,765493,290
YDR153C,chrIV,767971,766736,-1,768122,766614,1509,Verified,767368,282,tandem,768263,974,convergent,766127,NaN,NaN,NaN,NaN,NaN,NaN
YDR155C,chrIV,769000,768512,-1,769032,768405,628,Verified,768719,442,divergent,769253,282,tandem,768264,768932,769536,100,-504,769234,457
YDR156W,chrIV,769525,769938,1,769475,770054,580,Verified,769765,442,divergent,769254,267,tandem,770188,769536,768932,61,-543,769234,457
YDR158W,chrIV,770357,771454,1,770322,771577,1256,Verified,770950,267,tandem,770188,209,tandem,771682,770341,769962,19,-360,770152,232
YDR159W,chrIV,771877,775782,1,771787,775823,4037,Verified,773805,209,tandem,771682,161,tandem,775904,771832,771568,45,-219,771700,117
YDR160W,chrIV,776163,778721,1,775985,778803,2819,Verified,777394,161,tandem,775904,212,tandem,778909,776034,775765,49,-220,775900,122
YDR162C,chrIV,781100,780390,-1,781232,780179,1054,Verified,780706,117,divergent,781291,1162,convergent,779598,781192,781423,40,-191,781308,84
YDR163W,chrIV,781423,781950,1,781350,782055,706,Verified,781703,117,divergent,781291,-126,convergent,781992,781423,781192,73,-158,781308,84
YDR164C,chrIV,784215,782041,-1,784267,781930,2338,Verified,783099,566,divergent,784550,579,convergent,781640,784217,784433,50,-166,784325,69
YDR165W,chrIV,784871,786205,1,784834,786269,1436,Verified,785552,566,divergent,784551,-61,convergent,786238,784876,784608,42,-226,784742,121
YDR166C,chrIV,789221,786306,-1,789294,786209,3086,Verified,787752,125,divergent,789357,1374,convergent,785522,789231,789469,63,-175,789350,91
YDR167W,chrIV,789449,790069,1,789420,790188,769,Verified,789804,125,divergent,789357,99,tandem,790238,789469,789231,49,-189,789350,91
YDR168W,chrIV,790328,791848,1,790288,791954,1667,Verified,791121,99,tandem,790238,149,convergent,792029,790336,790109,48,-179,790223,80
YDR169C,chrIV,793889,792348,-1,794255,792104,2152,Verified,793180,318,tandem,794414,1815,convergent,791196,794221,794535,34,-280,794378,167
YDR170C,chrIV,802222,796193,-1,802409,795995,6415,Verified,799202,4125,divergent,804472,1271,tandem,795359,802405,802646,4,-237,802526,94
YDR171W,chrIV,806621,807748,1,806535,807812,1278,Verified,807174,4125,divergent,804472,467,tandem,808046,806527,806242,-8,-293,806385,138
YDR172W,chrIV,808324,810381,1,808280,810557,2278,Verified,809419,467,tandem,808046,-110,convergent,810502,808321,808035,41,-245,808178,139
YDR173C,chrIV,811632,810565,-1,811677,810448,1230,Verified,811063,409,divergent,811882,2167,convergent,809364,811644,812143,33,-466,811894,352
YDR174W,chrIV,812110,812850,1,812087,813022,936,Verified,812555,409,divergent,811882,54,convergent,813049,812143,811644,56,-443,811894,352
YDR175C,chrIV,814152,813193,-1,814207,813077,1131,Verified,813642,215,divergent,814315,989,convergent,812582,814159,814461,48,-254,814310,155
YDR176W,chrIV,814452,816560,1,814423,816612,2190,Verified,815518,215,divergent,814315,167,tandem,816696,814461,814159,38,-264,814310,155
YDR177W,chrIV,816878,817525,1,816780,817667,888,Verified,817224,167,tandem,816696,180,tandem,817757,816829,816521,49,-259,816675,161
YDR178W,chrIV,817950,818495,1,817848,818698,851,Verified,818273,180,tandem,817758,-114,convergent,818641,817874,817629,26,-219,817752,98
YDR179C,chrIV,819196,818708,-1,819225,818585,641,Verified,818905,114,divergent,819282,736,convergent,818217,819159,819389,66,-164,819274,83
YDR180W,chrIV,821295,825776,1,821152,825827,4676,Verified,823490,238,tandem,821033,-60,convergent,825797,821201,820932,49,-220,821067,122
YDR181C,chrIV,827355,825910,-1,827414,825768,1647,Verified,826591,117,divergent,827473,4615,convergent,823460,827331,827590,83,-176,827461,112
YDR182W,chrIV,827582,829057,1,827532,829170,1639,Verified,828351,117,divergent,827473,-20,tandem,829160,827590,827331,58,-201,827461,112
YDR183W,chrIV,829585,830277,1,829530,830490,961,Verified,830010,105,tandem,829477,-100,convergent,830440,829582,829359,52,-171,829471,76
YDR184C,chrIV,831513,830629,-1,831542,830391,1152,Verified,830967,186,tandem,831635,860,convergent,829961,831522,831838,20,-296,831680,169
YDR185C,chrIV,832473,831934,-1,832579,831729,851,Verified,832154,162,tandem,832660,186,tandem,831636,832538,832826,41,-247,832682,141
YDR186C,chrIV,835492,832859,-1,835684,832742,2943,Verified,834213,682,divergent,836025,162,tandem,832661,835504,835766,180,-82,835635,115
YDR188W,chrIV,836421,838061,1,836367,838224,1858,Verified,837296,682,divergent,836026,125,tandem,838287,836405,836088,38,-279,836247,170
YDR189W,chrIV,838392,840392,1,838350,840503,2154,Verified,839427,125,tandem,838287,23,convergent,840515,838387,838105,37,-245,838246,135
YDR190C,chrIV,841995,840604,-1,842054,840527,1528,Verified,841291,244,divergent,842176,2176,convergent,839439,842004,842341,50,-287,842173,190
YDR191W,chrIV,842337,843449,1,842299,843558,1260,Verified,842929,244,divergent,842177,-82,convergent,843517,842341,842004,42,-295,842173,190
YDR192C,chrIV,844861,843569,-1,844940,843477,1464,Verified,844209,859,tandem,845370,1177,convergent,842888,844882,845142,58,-202,845012,113
YDR194C,chrIV,847946,845952,-1,847969,845800,2170,Verified,846885,149,divergent,848044,859,tandem,845370,847920,848166,49,-197,848043,99
YDR195W,chrIV,848599,850200,1,848364,850279,1916,Verified,849322,-194,tandem,848461,-96,convergent,850231,848409,848166,45,-198,848288,96
YDR196C,chrIV,850999,850274,-1,850999,850184,816,Verified,850592,195,divergent,851097,1819,convergent,849274,850978,851237,21,-238,851108,112
YDR197W,chrIV,851228,852397,1,851195,852504,1310,Verified,851850,195,divergent,851097,-109,convergent,852449,851237,850978,42,-217,851108,112
YDR198C,chrIV,853972,852533,-1,853998,852396,1603,Verified,853197,148,tandem,854072,1200,convergent,851796,853958,854219,40,-221,854089,114
YDR200C,chrIV,856093,854279,-1,856158,854147,2012,Verified,855153,129,divergent,856223,148,tandem,854073,856110,856347,48,-189,856229,90
YDR201W,chrIV,856317,856814,1,856288,857039,752,Verified,856664,129,divergent,856223,-276,convergent,856901,856347,856110,59,-178,856229,90
YDR202C,chrIV,857953,856898,-1,857984,856764,1221,Verified,857374,144,divergent,858056,475,convergent,856526,857938,858163,46,-179,858051,78
YDR204W,chrIV,858137,859144,1,858129,859276,1148,Verified,858703,144,divergent,858057,68,tandem,859310,858163,857938,34,-191,858051,78
YDR205W,chrIV,859346,861520,1,859345,861593,2249,Verified,860469,68,tandem,859311,180,tandem,861683,859370,859106,25,-239,859238,117
YDR206W,chrIV,862054,864708,1,861774,864938,3165,Verified,863356,180,tandem,861684,-120,convergent,864878,861768,861478,-6,-296,861623,143
YDR207C,chrIV,867522,865012,-1,867611,864819,2793,Verified,866215,488,divergent,867855,3044,convergent,863297,867530,867799,81,-188,867665,122
YDR208W,chrIV,868224,870563,1,868100,870697,2598,Verified,869399,488,divergent,867856,344,tandem,870869,868144,867799,44,-301,867972,198
YDR211W,chrIV,884727,886865,1,884672,887058,2387,Verified,885865,13192,tandem,878076,89,tandem,887103,884722,884206,50,-466,884464,369
YDR212W,chrIV,887232,888911,1,887148,888994,1847,Verified,888071,89,tandem,887103,537,tandem,889263,887207,886912,59,-236,887060,148
YDR213W,chrIV,889751,892492,1,889532,892714,3183,Verified,891123,537,tandem,889263,28,tandem,892728,889550,889281,18,-251,889416,122
YDR214W,chrIV,892875,893927,1,892743,894019,1277,Verified,893381,28,tandem,892729,516,tandem,894277,892894,892398,151,-345,892646,349
YDR216W,chrIV,895035,899006,1,894536,899006,4471,Verified,896771,516,tandem,894278,469,convergent,899241,894658,894395,122,-141,894527,116
YDR217C,chrIV,903480,899551,-1,903537,899476,4062,Verified,901507,243,tandem,903659,4939,convergent,897006,903465,903708,72,-171,903587,96
YDR218C,chrIV,905052,903781,-1,905062,903781,1282,Verified,904422,192,tandem,905158,243,tandem,903659,905047,905341,15,-279,905194,147
YDR219C,chrIV,906852,905455,-1,907076,905255,1822,Verified,906166,253,divergent,907203,192,tandem,905159,907050,907327,26,-251,907189,130
YDR221W,chrIV,907330,909438,1,907330,909608,2279,Verified,908469,253,divergent,907203,409,tandem,909813,907327,907050,-3,-280,907189,130
YDR223W,chrIV,912099,913502,1,911653,913502,1850,Verified,912578,187,tandem,911559,687,convergent,913846,911464,911259,-189,-394,911362,58
YDR224C,chrIV,914712,914317,-1,914746,914190,557,Verified,914468,711,divergent,915102,2536,convergent,912922,NaN,NaN,NaN,NaN,NaN,NaN
YDR225W,chrIV,915530,915928,1,915458,916087,630,Verified,915773,711,divergent,915102,375,tandem,916275,NaN,NaN,NaN,NaN,NaN,NaN
YDR226W,chrIV,916486,917154,1,916463,917281,819,Verified,916872,375,tandem,916275,176,tandem,917369,916478,916146,15,-317,916312,185
YDR227W,chrIV,917571,921647,1,917458,921813,4356,Verified,919636,176,tandem,917370,45,convergent,921836,917494,917237,36,-221,917366,110
YDR228C,chrIV,923806,921926,-1,923883,921859,2025,Verified,922871,808,divergent,924287,4400,convergent,919659,923881,924160,2,-277,924021,132
YDR229W,chrIV,924785,926146,1,924692,926200,1509,Verified,925446,808,divergent,924288,-15,convergent,926192,924742,924471,50,-221,924607,124
YDR231C,chrIV,926910,926293,-1,926940,926186,755,Verified,926563,278,divergent,927079,1493,convergent,925439,926889,927243,51,-303,927066,207
YDR232W,chrIV,927452,929098,1,927219,929273,2055,Verified,928246,278,divergent,927080,50,convergent,929298,927243,926889,24,-330,927066,207
YDR233C,chrIV,930357,929470,-1,930396,929324,1073,Verified,929860,594,divergent,930693,2104,convergent,928272,930299,930545,97,-149,930422,99
YDR234W,chrIV,931129,933210,1,930991,933326,2336,Verified,932159,594,divergent,930694,177,tandem,933415,930986,930526,-5,-465,930756,313
YDR235W,chrIV,933504,935138,1,933504,935202,1699,Verified,934353,177,tandem,933415,-76,convergent,935164,933524,933257,20,-247,933391,120
YDR236C,chrIV,935892,935236,-1,935917,935127,791,Verified,935522,555,divergent,936195,1622,convergent,934316,935907,936113,10,-196,936010,59
YDR237W,chrIV,936615,937493,1,936473,937619,1147,Verified,937046,555,divergent,936195,79,convergent,937659,936523,936280,50,-193,936402,96
YDR238C,chrIV,940816,937895,-1,940849,937699,3151,Verified,939274,148,tandem,940923,1225,convergent,937086,940807,941115,42,-266,940961,161
YDR239C,chrIV,943420,941057,-1,943429,940998,2432,Verified,942214,185,tandem,943522,148,tandem,940924,943415,943677,14,-248,943546,115
YDR240C,chrIV,945152,943674,-1,945172,943615,1558,Verified,944394,1538,divergent,945941,185,tandem,943522,945131,945394,41,-222,945263,116
YDR242W,chrIV,946807,948456,1,946711,948456,1746,Verified,947584,1538,divergent,945942,38,convergent,948475,946739,946507,28,-204,946623,85
YDR243C,chrIV,950284,948518,-1,950316,948495,1822,Verified,949406,221,divergent,950427,1783,convergent,947603,950275,950564,41,-248,950420,142
YDR244W,chrIV,950563,952401,1,950538,952595,2058,Verified,951567,221,divergent,950427,141,tandem,952666,950564,950275,26,-263,950420,142
YDR245W,chrIV,952800,953981,1,952737,954136,1400,Verified,953437,141,tandem,952666,116,tandem,954194,952777,952452,40,-285,952615,178
YDR246W,chrIV,954288,954947,1,954253,955115,863,Verified,954684,116,tandem,954195,17,tandem,955124,954326,954037,73,-216,954182,142
YDR247W,chrIV,956013,957398,1,955644,957744,2101,Verified,956694,310,tandem,955489,-88,convergent,957700,955713,955248,69,-396,955481,318
YDR251W,chrIV,960614,963106,1,960308,963281,2974,Verified,961795,190,divergent,960213,128,tandem,963345,960341,960035,33,-273,960188,159
YDR252W,chrIV,963412,963861,1,963410,963861,452,Verified,963636,128,tandem,963346,83,convergent,963903,963456,963197,46,-213,963327,112
YDR253C,chrIV,964565,963990,-1,964320,963945,376,Verified,964133,720,divergent,964680,534,convergent,963678,964783,965094,-463,-774,964939,164
YDR254W,chrIV,965113,966489,1,965041,966517,1477,Verified,965779,720,divergent,964681,-220,convergent,966407,965094,964783,53,-258,964939,164
YDR255C,chrIV,967822,966557,-1,967859,966298,1562,Verified,967079,273,tandem,967996,1256,convergent,965670,967808,968097,51,-238,967953,142
YDR256C,chrIV,969680,968133,-1,969680,968133,1548,Verified,968907,5,tandem,969683,273,tandem,967996,969792,970023,-112,-343,969908,84
YDR257C,chrIV,971474,969990,-1,971478,969686,1793,Verified,970582,223,tandem,971590,5,tandem,969683,971418,971716,60,-238,971567,151
YDR258C,chrIV,974243,971808,-1,974316,971702,2615,Verified,973009,177,tandem,974405,223,tandem,971590,974307,974560,9,-244,974434,106
YDR259C,chrIV,975782,974631,-1,976003,974494,1510,Verified,975249,373,tandem,976190,177,tandem,974405,976129,976534,-126,-531,976332,258
YDR260C,chrIV,977229,976717,-1,977258,976377,882,Verified,976818,148,tandem,977332,373,tandem,976190,977220,977499,38,-241,977360,132
YDR261C,chrIV,979209,977521,-1,979262,977407,1856,Verified,978335,13860,divergent,986192,148,tandem,977333,979228,979549,34,-287,979389,174
YDR263C,chrIV,995534,994242,-1,995534,994093,1442,Verified,994814,297,tandem,995683,969,convergent,993608,995633,995880,-99,-346,995757,100
YDR264C,chrIV,998323,996029,-1,998420,995832,2589,Verified,997126,187,divergent,998514,297,tandem,995683,998375,998661,45,-241,998518,139
YDR265W,chrIV,998864,999877,1,998608,1000064,1457,Verified,999336,187,divergent,998514,-101,convergent,1000013,998661,998375,53,-233,998518,139
YDR266C,chrIV,1002023,1000104,-1,1002225,999964,2262,Verified,1001095,79,tandem,1002265,1355,convergent,999286,1002188,1002482,37,-257,1002335,147
YDR267C,chrIV,1003502,1002510,-1,1003562,1002305,1258,Verified,1002934,402,divergent,1003763,79,tandem,1002265,1003518,1003745,44,-183,1003632,80
YDR268W,chrIV,1004004,1005143,1,1003965,1005256,1292,Verified,1004611,402,divergent,1003764,344,tandem,1005428,1003991,1003745,26,-220,1003868,99
YDR270W,chrIV,1005675,1008689,1,1005601,1009004,3404,Verified,1007303,344,tandem,1005429,-52,tandem,1008978,1005593,1005287,-8,-314,1005440,159
YDR272W,chrIV,1009010,1009834,1,1008953,1009887,935,Verified,1009420,-52,tandem,1008979,245,tandem,1010010,1008976,1008729,23,-224,1008853,100
YDR273W,chrIV,1010176,1011273,1,1010133,1011375,1243,Verified,1010754,245,tandem,1010010,857,tandem,1011804,1010116,1009862,-17,-271,1009989,107
YDR275W,chrIV,1012252,1012959,1,1012233,1013253,1021,Verified,1012743,857,tandem,1011804,6,convergent,1013256,1012369,1012015,136,-218,1012192,207
YDR276C,chrIV,1013643,1013476,-1,1013718,1013260,459,Verified,1013489,491,tandem,1013964,1026,convergent,1012747,1013634,1014150,84,-432,1013892,369
YDR277C,chrIV,1015702,1014401,-1,1015702,1014210,1493,Verified,1014956,3598,divergent,1017501,491,tandem,1013964,1015866,1016464,-164,-762,1016165,451
YDR279W,chrIV,1019368,1020420,1,1019301,1020455,1155,Verified,1019878,3598,divergent,1017502,161,tandem,1020536,1019322,1019061,21,-240,1019192,114
YDR280W,chrIV,1020747,1021664,1,1020617,1021768,1152,Verified,1021193,161,tandem,1020536,71,convergent,1021804,1020671,1020372,54,-245,1020522,152
YDR281C,chrIV,1022321,1022007,-1,1022376,1021840,537,Verified,1022108,934,tandem,1022843,1222,convergent,1021229,1022403,1022678,-27,-302,1022541,128
YDR283C,chrIV,1030049,1025070,-1,1030268,1024879,5390,Verified,1027574,194,tandem,1030365,116,tandem,1024821,1030234,1030517,34,-249,1030376,136
YDR284C,chrIV,1031419,1030550,-1,1031700,1030463,1238,Verified,1031082,253,divergent,1031827,194,tandem,1030366,1031691,1031964,9,-264,1031828,126
YDR285W,chrIV,1032436,1035063,1,1031954,1035216,3263,Verified,1033585,253,divergent,1031827,-78,convergent,1035177,1031964,1031691,10,-263,1031828,126
YDR287W,chrIV,1035995,1036873,1,1035963,1037229,1267,Verified,1036596,157,divergent,1035884,-81,tandem,1037188,1036004,1035763,41,-200,1035884,94
YDR288W,chrIV,1037195,1038106,1,1037149,1038265,1117,Verified,1037707,-81,tandem,1037190,-193,convergent,1038168,1037199,1036962,50,-187,1037081,90
YDR289C,chrIV,1039509,1038280,-1,1039564,1038073,1492,Verified,1038819,125,divergent,1039627,923,convergent,1037611,1039507,1039760,57,-196,1039634,106
YDR292C,chrIV,1045011,1043146,-1,1045138,1043067,2072,Verified,1044103,180,tandem,1045228,3376,convergent,1041379,1045112,1045413,26,-275,1045263,154
YDR293C,chrIV,1049392,1045640,-1,1049446,1045319,4128,Verified,1047383,961,tandem,1049927,180,tandem,1045229,1049475,1049752,-29,-306,1049614,130
YDR294C,chrIV,1052228,1050459,-1,1052297,1050408,1890,Verified,1051353,244,tandem,1052419,961,tandem,1049927,1052229,1052505,68,-208,1052367,129
YDR295C,chrIV,1054647,1052623,-1,1054910,1052542,2369,Verified,1053726,246,divergent,1055033,244,tandem,1052420,1054884,1055210,26,-300,1055047,179
YDR296W,chrIV,1055212,1055892,1,1055157,1055979,823,Verified,1055568,246,divergent,1055034,535,tandem,1056247,1055210,1054884,53,-273,1055047,179
YDR297W,chrIV,1056551,1057600,1,1056515,1057770,1256,Verified,1057143,535,tandem,1056247,228,convergent,1057884,1056555,1056080,40,-435,1056318,328
YDR298C,chrIV,1058814,1058176,-1,1058975,1057999,977,Verified,1058487,616,divergent,1059283,1483,convergent,1057257,1058931,1059186,44,-211,1059059,108
YDR299W,chrIV,1059627,1061231,1,1059592,1061322,1731,Verified,1060457,616,divergent,1059284,72,convergent,1061358,1059620,1059342,28,-250,1059481,131
YDR300C,chrIV,1062791,1061505,-1,1062866,1061395,1472,Verified,1062131,410,divergent,1063071,1802,convergent,1060494,1062809,1063088,57,-222,1062949,132
YDR301W,chrIV,1063352,1067425,1,1063277,1067559,4283,Verified,1065418,410,divergent,1063072,109,tandem,1067614,1063331,1063088,54,-189,1063210,96
YDR302W,chrIV,1067731,1068390,1,1067669,1068463,795,Verified,1068066,109,tandem,1067614,150,convergent,1068538,1067730,1067448,61,-221,1067589,135
YDR303C,chrIV,1071386,1068729,-1,1071678,1068614,3065,Verified,1070146,127,tandem,1071742,944,convergent,1068142,1071676,1071910,2,-232,1071793,87
YDR304C,chrIV,1072557,1071880,-1,1072586,1071806,781,Verified,1072196,94,tandem,1072633,127,tandem,1071742,1072567,1072796,19,-210,1072682,82
YDR305C,chrIV,1073488,1072746,-1,1073462,1072681,782,Verified,1073072,253,tandem,1073589,94,tandem,1072634,1073430,1073638,32,-176,1073534,61
YDR308C,chrIV,1078449,1078027,-1,1078490,1077919,572,Verified,1078205,193,tandem,1078587,2112,convergent,1076863,1078450,1078668,40,-178,1078559,71
YDR309C,chrIV,1080199,1079048,-1,1080249,1078684,1566,Verified,1079467,690,tandem,1080594,193,tandem,1078587,1080305,1081014,-56,-765,1080660,562
YDR310C,chrIV,1084316,1081128,-1,1084594,1080940,3655,Verified,1082767,472,divergent,1084830,690,tandem,1080595,1084567,1084827,27,-233,1084697,113
YDR311W,chrIV,1085065,1086993,1,1085067,1087095,2029,Verified,1086081,472,divergent,1084831,453,tandem,1087322,1085100,1084827,33,-240,1084964,126
YDR312W,chrIV,1087581,1088942,1,1087549,1089124,1576,Verified,1088337,453,tandem,1087322,-84,convergent,1089082,1087573,1087323,24,-226,1087448,103
YDR313C,chrIV,1090079,1089219,-1,1090167,1089041,1127,Verified,1089604,0,tandem,1090167,1491,convergent,1088295,1090097,1090413,70,-246,1090255,169
YDR314C,chrIV,1092511,1090433,-1,1092546,1090168,2379,Verified,1091357,121,tandem,1092607,0,tandem,1090168,1092532,1092752,14,-206,1092642,73
YDR315C,chrIV,1093586,1092741,-1,1093587,1092668,920,Verified,1093128,171,divergent,1093673,121,tandem,1092607,1093555,1093790,32,-203,1093673,88
YDR316W,chrIV,1093763,1095178,1,1093759,1095257,1499,Verified,1094508,171,divergent,1093673,6903,tandem,1098709,1093790,1093555,31,-204,1093673,88
YDR317W,chrIV,1102184,1103428,1,1102161,1103514,1354,Verified,1102838,6903,tandem,1098709,171,tandem,1103600,1102138,1101909,-23,-252,1102024,82
YDR318W,chrIV,1103758,1104947,1,1103686,1105057,1372,Verified,1104372,171,tandem,1103600,-129,convergent,1104992,1103765,1103508,79,-178,1103637,110
YDR320C,chrIV,1108101,1106095,-1,1108108,1106007,2102,Verified,1107058,92,tandem,1108154,132,tandem,1105941,1108085,1108286,23,-178,1108186,54
YDR320C-A,chrIV,1108498,1108280,-1,1108498,1108201,298,Verified,1108350,172,divergent,1108584,92,tandem,1108155,1108455,1108724,43,-226,1108590,122
YDR321W,chrIV,1108702,1109847,1,1108671,1109998,1328,Verified,1109335,172,divergent,1108585,579,tandem,1110288,1108724,1108455,53,-216,1108590,122
YDR322W,chrIV,1110589,1111692,1,1110578,1111786,1209,Verified,1111182,579,tandem,1110288,10,convergent,1111791,1110604,1110363,26,-215,1110484,94
YDR322C-A,chrIV,1112293,1112003,-1,1112337,1111797,541,Verified,1112067,-39,tandem,1112317,1218,convergent,1111188,1112268,1112548,69,-211,1112408,133
YDR323C,chrIV,1114027,1112480,-1,1114057,1112299,1759,Verified,1113178,195,tandem,1114155,-39,tandem,1112319,1114024,1114294,33,-237,1114159,123
YDR324C,chrIV,1116763,1114433,-1,1116703,1114253,2451,Verified,1115478,405,divergent,1116906,195,tandem,1114155,1116671,1116914,32,-211,1116793,96
YDR325W,chrIV,1117126,1120233,1,1117109,1120297,3189,Verified,1118703,405,divergent,1116906,167,convergent,1120381,1117159,1116914,50,-195,1117037,98
YDR326C,chrIV,1124925,1120609,-1,1125113,1120465,4649,Verified,1122789,118,tandem,1125172,3355,convergent,1118787,1125057,1125361,56,-248,1125209,157
YDR328C,chrIV,1126018,1125434,-1,1126056,1125232,825,Verified,1125644,148,tandem,1126130,118,tandem,1125173,1126026,1126299,30,-243,1126163,126
YDR329C,chrIV,1127595,1126270,-1,1127617,1126205,1413,Verified,1126911,182,divergent,1127708,148,tandem,1126131,1127566,1127843,51,-226,1127705,130
